"部","經號","經名","卷/篇章","作譯者","著書年代"
"新編部類","B13n0080","大唐西域記（校點本）","12","玄奘,辯機","? ~ ?"
"般若部類","K05n0016","能斷金剛般若波羅蜜多經","1","玄奘","618 ~ 907"
"瑜伽部類","L149n1629","大乘百法明門論註","1","玄奘,慈恩法師","618 ~ 907"
"阿含部類","T02n0124","緣起經","1","玄奘","661 ~ 661"
"般若部類","T05n0220a","大般若波羅蜜多經","600","玄奘","660 ~ 663"
"般若部類","T08n0251","般若波羅蜜多心經","1","玄奘","648 ~ 649"
"華嚴部類","T10n0289","顯無邊佛土功德經","1","玄奘","654 ~ 654"
"寶積部類,淨土宗部類","T12n0367","稱讚淨土佛攝受經","1","玄奘","650 ~ 650"
"涅槃部類","T12n0390","佛臨涅槃記法住經","1","玄奘","652 ~ 652"
"大集部類","T13n0411","大乘大集地藏十輪經","10","玄奘","651 ~ 651"
"經集部類","T14n0436","受持七佛名號所生功德經","1","玄奘","651 ~ 651"
"經集部類","T14n0450","藥師琉璃光如來本願功德經","1","玄奘","650 ~ 650"
"經集部類","T14n0476","說無垢稱經","6","玄奘","650 ~ 650"
"經集部類","T14n0515","如來示教勝軍王經","1","玄奘","646 ~ 649"
"經集部類","T15n0592","天請問經","1","玄奘","648 ~ 648"
"經集部類","T15n0648","寂照神變三摩地經","1","玄奘","663 ~ 663"
"經集部類","T16n0676","解深密經","5","玄奘","647 ~ 647"
"經集部類","T16n0680","佛說佛地經","1","玄奘","645 ~ 645"
"經集部類","T16n0689","甚希有經","1","玄奘","649 ~ 649"
"經集部類","T16n0691","最無比經","1","玄奘","649 ~ 649"
"經集部類","T16n0714","緣起聖道經","1","玄奘","649 ~ 649"
"經集部類","T16n0717","分別緣起初勝法門經","2","玄奘","650 ~ 650"
"經集部類","T17n0765","本事經","7","玄奘","650 ~ 650"
"經集部類","T17n0840","稱讚大乘功德經","1","玄奘","654 ~ 654"
"密教部類","T19n0918","諸佛心陀羅尼經","1","玄奘","650 ~ 650"
"密教部類","T20n1034","呪五首","1","玄奘","664 ~ 664"
"密教部類","T20n1071","十一面神呪心經","1","玄奘","656 ~ 656"
"密教部類","T20n1094","不空羂索神呪心經","1","玄奘","659 ~ 659"
"密教部類","T20n1162","持世陀羅尼經","1","玄奘","654 ~ 654"
"密教部類","T21n1360","六門陀羅尼經","1","玄奘","645 ~ 645"
"密教部類","T21n1363","勝幢臂印陀羅尼經","1","玄奘","654 ~ 654"
"密教部類","T21n1365","八名普密陀羅尼經","1","玄奘","654 ~ 654"
"密教部類","T21n1395","拔濟苦難陀羅尼經","1","玄奘","654 ~ 654"
"律部類","T24n1499","菩薩戒羯磨文","1","彌勒菩薩,玄奘","649 ~ 649"
"律部類","T24n1501","菩薩戒本","1","彌勒菩薩,玄奘","649 ~ 649"
"經集部類","T26n1530","佛地經論","7","親光,玄奘","649 ~ 649"
"毘曇部類","T26n1536","阿毘達磨集異門足論","20","玄奘,舍利弗","660 ~ 663"
"毘曇部類","T26n1537","阿毘達磨法蘊足論","12","玄奘,目犍連","659 ~ 659"
"毘曇部類","T26n1539","阿毘達磨識身足論","16","玄奘,提婆設摩","649 ~ 649"
"毘曇部類","T26n1540","阿毘達磨界身足論","3","玄奘,世友","663 ~ 663"
"毘曇部類","T26n1542","阿毘達磨品類足論","18","世友,玄奘","660 ~ 660"
"毘曇部類","T26n1544","阿毘達磨發智論","20","玄奘,迦栴延子","657 ~ 660"
"毘曇部類","T27n1545","阿毘達磨大毘婆沙論","200","玄奘","656 ~ 659"
"毘曇部類","T28n1554","入阿毘達磨論","2","塞建地羅,玄奘","658 ~ 658"
"毘曇部類","T28n1555","五事毘婆沙論","2","法救,玄奘","663 ~ 663"
"毘曇部類","T29n1558","阿毘達磨俱舍論","30","玄奘,世親","651 ~ 654"
"毘曇部類","T29n1560","阿毘達磨俱舍論本頌","1","玄奘,世親","651 ~ 651"
"毘曇部類","T29n1562","阿毘達磨順正理論","80","玄奘,眾賢","653 ~ 654"
"毘曇部類","T29n1563","阿毘達磨藏顯宗論","40","玄奘,眾賢","651 ~ 652"
"中觀部類","T30n1570","廣百論本","1","聖天,玄奘","650 ~ 650"
"中觀部類","T30n1571","大乘廣百論釋論","10","聖天,護法,玄奘","650 ~ 650"
"中觀部類","T30n1578","大乘掌珍論","2","清辯,玄奘","649 ~ 649"
"瑜伽部類","T30n1579","瑜伽師地論","100","彌勒菩薩,玄奘","646 ~ 648"
"瑜伽部類","T30n1580","瑜伽師地論釋","1","最勝子,玄奘","650 ~ 650"
"瑜伽部類","T31n1585","成唯識論","10","護法,玄奘","659 ~ 659"
"瑜伽部類","T31n1586","唯識三十論頌","1","世親,玄奘","648 ~ 649"
"瑜伽部類","T31n1590","唯識二十論","1","世親,玄奘","661 ~ 661"
"瑜伽部類","T31n1594","攝大乘論本","3","無著,玄奘","648 ~ 649"
"瑜伽部類","T31n1597","攝大乘論釋","10","世親,玄奘","648 ~ 649"
"瑜伽部類","T31n1598","攝大乘論釋","10","無性,玄奘","648 ~ 650"
"瑜伽部類","T31n1600","辯中邊論","3","世親,玄奘","661 ~ 661"
"瑜伽部類","T31n1601","辯中邊論頌","1","彌勒菩薩,玄奘","661 ~ 661"
"瑜伽部類","T31n1602","顯揚聖教論","20","無著,玄奘","645 ~ 646"
"瑜伽部類","T31n1603","顯揚聖教論頌","1","無著,玄奘","645 ~ 645"
"瑜伽部類","T31n1605","大乘阿毘達磨集論","7","玄奘,無著","625 ~ 625"
"瑜伽部類","T31n1606","大乘阿毘達磨雜集論","16","玄奘,安慧","646 ~ 646"
"瑜伽部類","T31n1609","大乘成業論","1","世親,玄奘","651 ~ 651"
"瑜伽部類","T31n1612","大乘五蘊論","1","世親,玄奘","647 ~ 647"
"瑜伽部類","T31n1614","大乘百法明門論","1","世親,玄奘","648 ~ 648"
"瑜伽部類","T31n1615","王法正理論","1","彌勒菩薩,玄奘","649 ~ 649"
"瑜伽部類","T31n1624","觀所緣緣論","1","陳那,玄奘","657 ~ 657"
"論集部類","T32n1628","因明正理門論本","1","陳那,玄奘","649 ~ 649"
"論集部類","T32n1630","因明入正理論","1","商羯羅主,玄奘","647 ~ 647"
"史傳部類","T49n2030","大阿羅漢難提蜜多羅所說法住記","1","玄奘","654 ~ 654"
"史傳部類","T49n2031","異部宗輪論","1","世友,玄奘","662 ~ 662"
"史傳部類","T51n2087","大唐西域記","12","玄奘,辯機","646 ~ 646"
"事彙部類","T54n2138","勝宗十句義論","1","慧月,玄奘","648 ~ 648"
"論集部類","X53n0861","三支比量義鈔","1","玄奘,延壽,明昱","1368 ~ 1644"